DATE,STATE,COUNTY,LATITUDE,LONGITUDE,SPECIES,IDNUMBER,SEX,RELATIVEAGE
9/25/2018,NY,ST LAWRENCE,44.54307,-75.2796,RACCOONS,NY180555,FEMALE,ADULT
10/3/2018,NY,ERIE,43.05304,-78.53899,RACCOONS,NY180257,MALE,ADULT
9/25/2018,NY,ST LAWRENCE,44.44632,-75.42493,RACCOONS,NY180553,MALE,ADULT
10/3/2018,NY,JEFFERSON,44.24084,-75.80244,RACCOONS,NY180610,FEMALE,ADULT
10/9/2018,NY,ERIE,42.99854,-78.57686,RACCOONS,NY180344,FEMALE,ADULT
9/28/2018,NY,ESSEX,44.2773,-73.41003,RACCOONS,NY180516,MALE,ADULT
9/19/2018,NY,CLINTON,44.61229,-73.43897,RACCOONS,NY181050,MALE,ADULT
10/4/2018,NY,CLINTON,44.79429,-73.38282,RACCOONS,NY180525,MALE,ADULT
9/28/2018,NY,ESSEX,44.25049,-73.47249,RACCOONS,NY180514,FEMALE,ADULT
7/15/2018,NY,ST LAWRENCE,44.509584,-74.886858,RACCOONS,NY181507,FEMALE,ADULT
10/11/2018,NY,ERIE,42.82064,-78.57122,RACCOONS,NY180367,MALE,ADULT
9/23/2018,NY,OSWEGO,43.57452,-76.11219,RACCOONS,NY181255,MALE,ADULT
10/16/2018,NY,CLINTON,44.71536,-73.57344,RACCOONS,NY180538,FEMALE,ADULT
10/10/2018,NY,ERIE,42.61455,-78.59664,RACCOONS,NY180361,MALE,ADULT
9/22/2018,NY,OSWEGO,43.31795,-76.35642,RACCOONS,NY181252,MALE,ADULT
11/16/2018,NY,NIAGARA,43.24581,-78.51227,RACCOONS,NY181661,MALE,ADULT
10/2/2018,NY,CLINTON,44.73488,-73.42773,RACCOONS,NY181054,MALE,ADULT
10/2/2018,NY,CLINTON,44.78762,-73.37127,RACCOONS,NY180517,FEMALE,ADULT
10/2/2018,NY,ST LAWRENCE,44.66094,-75.05533,RACCOONS,NY180587,MALE,ADULT
10/11/2018,NY,NIAGARA,43.16825,-78.58917,RACCOONS,NY180373,MALE,ADULT
8/28/2018,NY,JEFFERSON,44.094949,-75.782283,RACCOONS,NY181534,MALE,ADULT
6/26/2018,NY,ST LAWRENCE,44.681664,-75.447193,RACCOONS,NY181495,MALE,ADULT
9/13/2018,NY,CLINTON,44.64632,-73.51362,RACCOONS,NY181048,MALE,ADULT
12/18/2018,NY,NIAGARA,43.12558,-78.6153,RACCOONS,NY181667,MALE,ADULT
7/10/2018,NY,ST LAWRENCE,44.893713,-75.095835,RACCOONS,NY181499,MALE,ADULT
9/18/2018,NY,JEFFERSON,43.79212,-76.04087,RACCOONS,NY181253,MALE,ADULT
10/18/2018,NY,CLINTON,44.69274,-73.57172,RACCOONS,NY180544,MALE,ADULT
9/25/2018,NY,ST LAWRENCE,44.55355,-75.27065,RACCOONS,NY180556,FEMALE,ADULT
9/20/2018,NY,ERIE,42.54152,-78.48074,"SKUNKS, STRIPED",NY181648,MALE,ADULT
9/15/2018,NY,ST LAWRENCE,44.488683,-75.40892,RACCOONS,NY181542,MALE,ADULT
9/25/2018,NY,ST LAWRENCE,44.55349,-75.26284,RACCOONS,NY180559,FEMALE,ADULT
10/17/2018,NY,CLINTON,44.69103,-73.62157,RACCOONS,NY180541,FEMALE,ADULT
10/22/2018,NY,ERIE,42.94595,-78.67125,RACCOONS,NY181657,MALE,ADULT
9/25/2018,NY,JEFFERSON,44.08347,-76.05578,RACCOONS,NY180563,FEMALE,ADULT
9/27/2018,NY,ESSEX,44.2731,-73.45166,RACCOONS,NY180512,MALE,ADULT
